
02:14:18.215| ====== starting level 1: 'levels/maps/mainmenu'  ======

02:14:32.729| ====== starting level 2: 'levels/maps/hangar'  ======
02:15:24.472| ====== TestDrive started ======
02:15:27.343| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 1.94 DMG_ENERGY|CONTINUOUS
02:16:28.166| ====== TestDrive started ======
02:16:30.845| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.21 DMG_ENERGY|CONTINUOUS
02:16:30.948| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 9.33 DMG_ENERGY|CONTINUOUS
02:16:31.021| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.19 DMG_ENERGY|CONTINUOUS
02:16:31.124| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 3.90 DMG_ENERGY|CONTINUOUS
02:16:31.220| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 0.75 DMG_ENERGY|CONTINUOUS
02:16:31.318| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 0.99 DMG_ENERGY|CONTINUOUS
02:16:31.424| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 0.89 DMG_ENERGY|CONTINUOUS
02:16:31.524| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 10.64 DMG_ENERGY|CONTINUOUS
02:16:31.623| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.82 DMG_ENERGY|CONTINUOUS
02:16:31.718| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 3.57 DMG_ENERGY|CONTINUOUS
02:16:31.820| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.92 DMG_ENERGY|CONTINUOUS
02:16:31.937| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 11.83 DMG_ENERGY|CONTINUOUS
02:16:32.030| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.42 DMG_ENERGY|CONTINUOUS
02:16:32.132| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 3.50 DMG_ENERGY|CONTINUOUS
02:16:32.222| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.19 DMG_ENERGY|CONTINUOUS
02:16:32.319| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.22 DMG_ENERGY|CONTINUOUS
02:16:32.432| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 9.53 DMG_ENERGY|CONTINUOUS
02:16:33.240| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 11.89 DMG_ENERGY|CONTINUOUS
02:16:33.327| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.35 DMG_ENERGY|CONTINUOUS
02:16:33.426| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.89 DMG_ENERGY|CONTINUOUS
02:16:33.550| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.47 DMG_ENERGY|CONTINUOUS
02:16:33.631| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 9.44 DMG_ENERGY|CONTINUOUS
02:16:33.737| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.87 DMG_ENERGY|CONTINUOUS
02:16:33.831| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 11.12 DMG_ENERGY|CONTINUOUS
02:16:33.922| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.54 DMG_ENERGY|CONTINUOUS
02:16:34.011| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 3.11 DMG_ENERGY|CONTINUOUS
02:16:34.137| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 3.85 DMG_ENERGY|CONTINUOUS
02:16:34.282| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 2.42 DMG_ENERGY|CONTINUOUS
02:16:34.307| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 0.21 DMG_ENERGY|CONTINUOUS
02:16:40.151| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 5.93 DMG_ENERGY|CONTINUOUS
02:16:40.228| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.28 DMG_ENERGY|CONTINUOUS
02:16:40.294| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.96 DMG_ENERGY|CONTINUOUS
02:16:40.417| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 9.91 DMG_ENERGY|CONTINUOUS
02:16:40.529| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 10.37 DMG_ENERGY|CONTINUOUS
02:16:40.618| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.99 DMG_ENERGY|CONTINUOUS
02:16:40.709| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.61 DMG_ENERGY|CONTINUOUS
02:16:40.826| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 11.23 DMG_ENERGY|CONTINUOUS
02:16:40.909| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.23 DMG_ENERGY|CONTINUOUS
02:16:41.032| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 10.34 DMG_ENERGY|CONTINUOUS
02:16:41.098| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 3.67 DMG_ENERGY|CONTINUOUS
02:16:41.121| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 0.91 DMG_ENERGY|CONTINUOUS|HUD_IMPORTANT|HIGH_CAR_RESIST
02:16:41.146| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 0.91 DMG_ENERGY|CONTINUOUS|HUD_IMPORTANT
02:16:41.207| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 2.13 DMG_ENERGY|CONTINUOUS
02:16:41.327| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.80 DMG_ENERGY|CONTINUOUS
02:16:41.420| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.35 DMG_ENERGY|CONTINUOUS
02:16:41.504| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.76 DMG_ENERGY|CONTINUOUS
02:16:41.621| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 11.05 DMG_ENERGY|CONTINUOUS
02:16:41.727| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 9.13 DMG_ENERGY|CONTINUOUS
02:16:41.821| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.58 DMG_ENERGY|CONTINUOUS
02:16:41.897| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.65 DMG_ENERGY|CONTINUOUS
02:16:42.028| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 11.92 DMG_ENERGY|CONTINUOUS
02:16:42.105| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.86 DMG_ENERGY|CONTINUOUS
02:16:42.238| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 12.89 DMG_ENERGY|CONTINUOUS
02:16:42.321| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.51 DMG_ENERGY|CONTINUOUS
02:16:42.398| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 3.80 DMG_ENERGY|CONTINUOUS
02:16:42.516| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.09 DMG_ENERGY|CONTINUOUS
02:16:42.521| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 4.00 DMG_DIRECT|HUD_IMPORTANT
02:16:42.604| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.56 DMG_ENERGY|CONTINUOUS
02:16:42.606| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 10.58 DMG_DIRECT|CONTINUOUS
02:16:42.728| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.43 DMG_ENERGY|CONTINUOUS
02:16:42.729| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.64 DMG_DIRECT|CONTINUOUS
02:16:42.854| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.99 DMG_ENERGY|CONTINUOUS
02:16:42.859| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 4.26 DMG_DIRECT
02:16:42.947| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 3.21 DMG_ENERGY|CONTINUOUS
02:16:42.955| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 4.37 DMG_DIRECT
02:16:42.989| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 8.82 DMG_DIRECT
02:16:43.014| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 10.32 DMG_ENERGY|CONTINUOUS
02:16:43.081| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 27.57 DMG_DIRECT|CONTINUOUS|HUD_IMPORTANT
02:16:43.104| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.34 DMG_ENERGY|CONTINUOUS
02:16:43.106| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 0.87 DMG_ENERGY|CONTINUOUS
02:16:43.110| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 4.54 DMG_DIRECT|HUD_IMPORTANT
02:16:43.221| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.94 DMG_ENERGY|CONTINUOUS
02:16:43.223| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.55 DMG_DIRECT|CONTINUOUS
02:16:43.229| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 4.63 DMG_DIRECT|HUD_IMPORTANT
02:16:43.316| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.19 DMG_ENERGY|CONTINUOUS
02:16:43.317| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 9.56 DMG_DIRECT|CONTINUOUS
02:16:43.423| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 2.74 DMG_ENERGY|CONTINUOUS
02:16:43.424| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 12.21 DMG_DIRECT|CONTINUOUS
02:16:43.516| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 2.42 DMG_ENERGY|CONTINUOUS
02:16:43.517| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 12.05 DMG_DIRECT|CONTINUOUS
02:16:43.633| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.69 DMG_ENERGY|CONTINUOUS
02:16:43.635| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 13.82 DMG_DIRECT|CONTINUOUS
02:16:43.707| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.62 DMG_ENERGY|CONTINUOUS
02:16:43.709| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 13.03 DMG_DIRECT|CONTINUOUS
02:16:43.715| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 5.02 DMG_DIRECT
02:16:43.735| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 2.37 DMG_ENERGY|CONTINUOUS|HUD_IMPORTANT
02:16:43.830| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 3.56 DMG_ENERGY|CONTINUOUS|HUD_IMPORTANT
02:16:43.831| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 5.51 DMG_ENERGY|CONTINUOUS
02:16:43.928| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 2.84 DMG_ENERGY|CONTINUOUS|HUD_IMPORTANT
02:16:43.930| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 5.88 DMG_ENERGY|CONTINUOUS
02:16:43.931| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 10.39 DMG_DIRECT
02:16:43.999| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.90 DMG_DIRECT|CONTINUOUS|HUD_IMPORTANT
02:16:44.001| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 5.92 DMG_ENERGY|CONTINUOUS
02:16:44.002| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 5.27 DMG_DIRECT
02:16:44.102| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 2.47 DMG_ENERGY|CONTINUOUS|HUD_IMPORTANT
02:16:44.104| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 10.71 DMG_DIRECT
02:16:44.122| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 4.34 DMG_ENERGY|CONTINUOUS
02:16:44.206| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 3.98 DMG_ENERGY|CONTINUOUS|HUD_IMPORTANT
02:16:44.208| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 2.80 DMG_ENERGY|CONTINUOUS
02:16:44.210| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 5.45 DMG_DIRECT
02:16:44.301| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.80 DMG_DIRECT|CONTINUOUS|HUD_IMPORTANT
02:16:44.302| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 8.24 DMG_ENERGY|CONTINUOUS
02:16:44.421| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.85 DMG_ENERGY|CONTINUOUS
02:16:44.425| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 13.31 DMG_DIRECT|HUD_IMPORTANT
02:16:44.446| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 1.91 DMG_ENERGY|CONTINUOUS
02:16:44.501| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.66 DMG_ENERGY|CONTINUOUS|HUD_IMPORTANT
02:16:44.511| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 6.77 DMG_DIRECT|HUD_IMPORTANT
02:16:44.615| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 10.23 DMG_ENERGY|CONTINUOUS|HUD_IMPORTANT
02:16:44.618| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 6.87 DMG_DIRECT|HUD_IMPORTANT
02:16:44.653| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 2.75 DMG_ENERGY|CONTINUOUS|HUD_IMPORTANT
02:16:44.733| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.46 DMG_ENERGY|CONTINUOUS
02:16:44.801| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 9.55 DMG_ENERGY|CONTINUOUS
02:16:44.867| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 63.42 DMG_DIRECT|CONTINUOUS
02:16:44.901| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 9.59 DMG_ENERGY|CONTINUOUS
02:16:44.902| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 0.19 DMG_ENERGY|CONTINUOUS
02:16:44.905| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 14.36 DMG_DIRECT|HUD_IMPORTANT
02:16:45.006| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.32 DMG_ENERGY|CONTINUOUS
02:16:45.009| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.40 DMG_DIRECT|CONTINUOUS
02:16:45.130| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 9.33 DMG_ENERGY|CONTINUOUS
02:16:45.132| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 1.35 DMG_ENERGY|CONTINUOUS
02:16:45.135| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 6.25 DMG_DIRECT
02:16:45.215| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 10.73 DMG_ENERGY|CONTINUOUS
02:16:45.219| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 12.61 DMG_DIRECT
02:16:45.303| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 6.38 DMG_DIRECT
02:16:45.330| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 6.11 DMG_ENERGY|CONTINUOUS
02:16:45.423| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 3.48 DMG_ENERGY|CONTINUOUS
02:16:45.424| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 6.48 DMG_DIRECT
02:16:45.504| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 3.58 DMG_ENERGY|CONTINUOUS
02:16:45.505| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 6.56 DMG_DIRECT
02:16:45.595| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Minigun_Legend_bp6', damage: 40.47 DMG_DIRECT|CONTINUOUS|HUD_IMPORTANT
02:16:45.623| Damage. Victim: _ZeRon_             , attacker: VisitorCar1         , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 7.49 DMG_DIRECT|CONTINUOUS
02:16:45.624| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 10.38 DMG_ENERGY|CONTINUOUS
02:16:45.711| Damage. Victim: VisitorCar1         , attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 2.29 DMG_ENERGY|CONTINUOUS
